code,name,dob,nationality,race_id,position,points,fastest_lap_speed,status,country,year,race,date
ROS,Nico Rosberg,1985-06-27,German,866,6.0,8.0,203.732,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
ALO,Fernando Alonso,1981-07-29,Spanish,866,5.0,10.0,201.742,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
KOV,Heikki Kovalainen,1981-10-19,Finnish,866,18.0,0.0,200.947,+1 Lap,Canada,2012,Canadian Grand Prix,2012-06-10
RAI,Kimi Räikkönen,1979-10-17,Finnish,866,8.0,4.0,204.517,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
GLO,Timo Glock,1982-03-18,German,866,21.0,0.0,193.745,Suspension,Canada,2012,Canadian Grand Prix,2012-06-10
MAS,Felipe Massa,1981-04-25,Brazilian,866,10.0,1.0,206.08,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
WEB,Mark Webber,1976-08-27,Australian,866,7.0,6.0,203.544,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
BUT,Jenson Button,1980-01-19,British,866,16.0,0.0,201.682,+1 Lap,Canada,2012,Canadian Grand Prix,2012-06-10
VET,Sebastian Vettel,1987-07-03,German,866,4.0,12.0,207.249,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
MSC,Michael Schumacher,1969-01-03,German,866,,0.0,200.165,Rear wing,Canada,2012,Canadian Grand Prix,2012-06-10
DLR,Pedro de la Rosa,1971-02-24,Spanish,866,,0.0,192.55,Brakes,Canada,2012,Canadian Grand Prix,2012-06-10
KAR,Narain Karthikeyan,1977-01-14,Indian,866,,0.0,191.355,Suspension,Canada,2012,Canadian Grand Prix,2012-06-10
GRO,Romain Grosjean,1986-04-17,French,866,2.0,18.0,203.194,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
KOB,Kamui Kobayashi,1986-09-13,Japanese,866,9.0,2.0,202.669,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
HUL,Nico Hülkenberg,1987-08-19,German,866,12.0,0.0,203.357,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
PET,Vitaly Petrov,1984-09-08,Russian,866,19.0,0.0,201.037,+1 Lap,Canada,2012,Canadian Grand Prix,2012-06-10
SEN,Bruno Senna,1983-10-15,Brazilian,866,17.0,0.0,201.75,+1 Lap,Canada,2012,Canadian Grand Prix,2012-06-10
MAL,Pastor Maldonado,1985-03-09,Venezuelan,866,13.0,0.0,202.604,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
DIR,Paul di Resta,1986-04-16,British,866,11.0,0.0,203.312,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
PER,Sergio Pérez,1990-01-26,Mexican,866,3.0,15.0,205.454,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
RIC,Daniel Ricciardo,1989-07-01,Australian,866,14.0,0.0,204.931,Finished,Canada,2012,Canadian Grand Prix,2012-06-10
VER,Jean-Éric Vergne,1990-04-25,French,866,15.0,0.0,201.6,+1 Lap,Canada,2012,Canadian Grand Prix,2012-06-10
PIC,Charles Pic,1990-02-15,French,866,20.0,0.0,194.706,+3 Laps,Canada,2012,Canadian Grand Prix,2012-06-10
HAM,Lewis Hamilton,1985-01-07,British,869,,0.0,205.596,Puncture,Germany,2012,German Grand Prix,2012-07-22
ROS,Nico Rosberg,1985-06-27,German,869,10.0,1.0,208.158,Finished,Germany,2012,German Grand Prix,2012-07-22
ALO,Fernando Alonso,1981-07-29,Spanish,869,1.0,25.0,208.319,Finished,Germany,2012,German Grand Prix,2012-07-22
KOV,Heikki Kovalainen,1981-10-19,Finnish,869,19.0,0.0,204.307,+2 Laps,Germany,2012,German Grand Prix,2012-07-22
RAI,Kimi Räikkönen,1979-10-17,Finnish,869,3.0,15.0,206.555,Finished,Germany,2012,German Grand Prix,2012-07-22
GLO,Timo Glock,1982-03-18,German,869,22.0,0.0,198.922,+3 Laps,Germany,2012,German Grand Prix,2012-07-22
MAS,Felipe Massa,1981-04-25,Brazilian,869,12.0,0.0,207.843,Finished,Germany,2012,German Grand Prix,2012-07-22
WEB,Mark Webber,1976-08-27,Australian,869,8.0,4.0,206.361,Finished,Germany,2012,German Grand Prix,2012-07-22
BUT,Jenson Button,1980-01-19,British,869,2.0,18.0,207.205,Finished,Germany,2012,German Grand Prix,2012-07-22
VET,Sebastian Vettel,1987-07-03,German,869,5.0,10.0,208.011,Finished,Germany,2012,German Grand Prix,2012-07-22
MSC,Michael Schumacher,1969-01-03,German,869,7.0,6.0,209.163,Finished,Germany,2012,German Grand Prix,2012-07-22
DLR,Pedro de la Rosa,1971-02-24,Spanish,869,21.0,0.0,199.817,+3 Laps,Germany,2012,German Grand Prix,2012-07-22
KAR,Narain Karthikeyan,1977-01-14,Indian,869,23.0,0.0,201.33,+3 Laps,Germany,2012,German Grand Prix,2012-07-22
GRO,Romain Grosjean,1986-04-17,French,869,18.0,0.0,205.796,+1 Lap,Germany,2012,German Grand Prix,2012-07-22
KOB,Kamui Kobayashi,1986-09-13,Japanese,869,4.0,12.0,207.163,Finished,Germany,2012,German Grand Prix,2012-07-22
HUL,Nico Hülkenberg,1987-08-19,German,869,9.0,2.0,207.458,Finished,Germany,2012,German Grand Prix,2012-07-22
PET,Vitaly Petrov,1984-09-08,Russian,869,16.0,0.0,205.837,+1 Lap,Germany,2012,German Grand Prix,2012-07-22
SEN,Bruno Senna,1983-10-15,Brazilian,869,17.0,0.0,206.103,+1 Lap,Germany,2012,German Grand Prix,2012-07-22
MAL,Pastor Maldonado,1985-03-09,Venezuelan,869,15.0,0.0,206.846,+1 Lap,Germany,2012,German Grand Prix,2012-07-22
DIR,Paul di Resta,1986-04-16,British,869,11.0,0.0,206.56,Finished,Germany,2012,German Grand Prix,2012-07-22
PER,Sergio Pérez,1990-01-26,Mexican,869,6.0,8.0,207.725,Finished,Germany,2012,German Grand Prix,2012-07-22
RIC,Daniel Ricciardo,1989-07-01,Australian,869,13.0,0.0,205.66,Finished,Germany,2012,German Grand Prix,2012-07-22
VER,Jean-Éric Vergne,1990-04-25,French,869,14.0,0.0,206.747,Finished,Germany,2012,German Grand Prix,2012-07-22
PIC,Charles Pic,1990-02-15,French,869,20.0,0.0,201.416,+2 Laps,Germany,2012,German Grand Prix,2012-07-22
HAM,Lewis Hamilton,1985-01-07,British,872,1.0,25.0,235.841,Finished,Italy,2012,Italian Grand Prix,2012-09-09
ROS,Nico Rosberg,1985-06-27,German,872,7.0,6.0,239.053,Finished,Italy,2012,Italian Grand Prix,2012-09-09
ALO,Fernando Alonso,1981-07-29,Spanish,872,3.0,15.0,234.758,Finished,Italy,2012,Italian Grand Prix,2012-09-09
KOV,Heikki Kovalainen,1981-10-19,Finnish,872,14.0,0.0,233.277,+1 Lap,Italy,2012,Italian Grand Prix,2012-09-09
RAI,Kimi Räikkönen,1979-10-17,Finnish,872,5.0,10.0,234.036,Finished,Italy,2012,Italian Grand Prix,2012-09-09
GLO,Timo Glock,1982-03-18,German,872,17.0,0.0,232.008,+1 Lap,Italy,2012,Italian Grand Prix,2012-09-09
MAS,Felipe Massa,1981-04-25,Brazilian,872,4.0,12.0,234.55,Finished,Italy,2012,Italian Grand Prix,2012-09-09
WEB,Mark Webber,1976-08-27,Australian,872,20.0,0.0,233.792,Vibrations,Italy,2012,Italian Grand Prix,2012-09-09
BUT,Jenson Button,1980-01-19,British,872,,0.0,234.518,Fuel pressure,Italy,2012,Italian Grand Prix,2012-09-09
VET,Sebastian Vettel,1987-07-03,German,872,22.0,0.0,235.081,Alternator,Italy,2012,Italian Grand Prix,2012-09-09
MSC,Michael Schumacher,1969-01-03,German,872,6.0,8.0,237.748,Finished,Italy,2012,Italian Grand Prix,2012-09-09
DLR,Pedro de la Rosa,1971-02-24,Spanish,872,18.0,0.0,230.699,+1 Lap,Italy,2012,Italian Grand Prix,2012-09-09
KAR,Narain Karthikeyan,1977-01-14,Indian,872,19.0,0.0,228.957,+1 Lap,Italy,2012,Italian Grand Prix,2012-09-09
KOB,Kamui Kobayashi,1986-09-13,Japanese,872,9.0,2.0,234.239,Finished,Italy,2012,Italian Grand Prix,2012-09-09
HUL,Nico Hülkenberg,1987-08-19,German,872,21.0,0.0,235.439,Brakes,Italy,2012,Italian Grand Prix,2012-09-09
PET,Vitaly Petrov,1984-09-08,Russian,872,15.0,0.0,234.149,+1 Lap,Italy,2012,Italian Grand Prix,2012-09-09
SEN,Bruno Senna,1983-10-15,Brazilian,872,10.0,1.0,235.004,Finished,Italy,2012,Italian Grand Prix,2012-09-09
MAL,Pastor Maldonado,1985-03-09,Venezuelan,872,11.0,0.0,236.843,Finished,Italy,2012,Italian Grand Prix,2012-09-09
DIR,Paul di Resta,1986-04-16,British,872,8.0,4.0,234.144,Finished,Italy,2012,Italian Grand Prix,2012-09-09
PER,Sergio Pérez,1990-01-26,Mexican,872,2.0,18.0,238.171,Finished,Italy,2012,Italian Grand Prix,2012-09-09
DAM,Jérôme d'Ambrosio,1985-12-27,Belgian,872,13.0,0.0,235.177,Finished,Italy,2012,Italian Grand Prix,2012-09-09
RIC,Daniel Ricciardo,1989-07-01,Australian,872,12.0,0.0,235.325,Finished,Italy,2012,Italian Grand Prix,2012-09-09
VER,Jean-Éric Vergne,1990-04-25,French,872,,0.0,226.776,Suspension,Italy,2012,Italian Grand Prix,2012-09-09
PIC,Charles Pic,1990-02-15,French,872,16.0,0.0,232.357,+1 Lap,Italy,2012,Italian Grand Prix,2012-09-09
HAM,Lewis Hamilton,1985-01-07,British,873,,0.0,158.063,Gearbox,Singapore,2012,Singapore Grand Prix,2012-09-23
ROS,Nico Rosberg,1985-06-27,German,873,5.0,10.0,160.344,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
ALO,Fernando Alonso,1981-07-29,Spanish,873,3.0,15.0,162.034,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
KOV,Heikki Kovalainen,1981-10-19,Finnish,873,15.0,0.0,158.485,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
RAI,Kimi Räikkönen,1979-10-17,Finnish,873,6.0,8.0,160.502,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
GLO,Timo Glock,1982-03-18,German,873,12.0,0.0,157.36,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
MAS,Felipe Massa,1981-04-25,Brazilian,873,8.0,4.0,160.204,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
WEB,Mark Webber,1976-08-27,Australian,873,11.0,0.0,160.585,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
BUT,Jenson Button,1980-01-19,British,873,2.0,18.0,162.155,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
VET,Sebastian Vettel,1987-07-03,German,873,1.0,25.0,162.865,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
MSC,Michael Schumacher,1969-01-03,German,873,,0.0,157.374,Collision,Singapore,2012,Singapore Grand Prix,2012-09-23
DLR,Pedro de la Rosa,1971-02-24,Spanish,873,17.0,0.0,155.202,+1 Lap,Singapore,2012,Singapore Grand Prix,2012-09-23
KAR,Narain Karthikeyan,1977-01-14,Indian,873,,0.0,154.107,Accident,Singapore,2012,Singapore Grand Prix,2012-09-23
GRO,Romain Grosjean,1986-04-17,French,873,7.0,6.0,160.027,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
KOB,Kamui Kobayashi,1986-09-13,Japanese,873,13.0,0.0,163.513,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
HUL,Nico Hülkenberg,1987-08-19,German,873,14.0,0.0,164.48,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
PET,Vitaly Petrov,1984-09-08,Russian,873,19.0,0.0,158.613,+2 Laps,Singapore,2012,Singapore Grand Prix,2012-09-23
SEN,Bruno Senna,1983-10-15,Brazilian,873,18.0,0.0,160.749,Retired,Singapore,2012,Singapore Grand Prix,2012-09-23
MAL,Pastor Maldonado,1985-03-09,Venezuelan,873,,0.0,158.641,Hydraulics,Singapore,2012,Singapore Grand Prix,2012-09-23
DIR,Paul di Resta,1986-04-16,British,873,4.0,12.0,161.716,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
PER,Sergio Pérez,1990-01-26,Mexican,873,10.0,1.0,161.935,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
RIC,Daniel Ricciardo,1989-07-01,Australian,873,9.0,2.0,159.825,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
VER,Jean-Éric Vergne,1990-04-25,French,873,,0.0,160.891,Collision,Singapore,2012,Singapore Grand Prix,2012-09-23
PIC,Charles Pic,1990-02-15,French,873,16.0,0.0,156.781,Finished,Singapore,2012,Singapore Grand Prix,2012-09-23
HAM,Lewis Hamilton,1985-01-07,British,877,,0.0,186.4,Electrical,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
ROS,Nico Rosberg,1985-06-27,German,877,,0.0,182.864,Collision,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
ALO,Fernando Alonso,1981-07-29,Spanish,877,2.0,18.0,192.087,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
KOV,Heikki Kovalainen,1981-10-19,Finnish,877,13.0,0.0,186.662,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
RAI,Kimi Räikkönen,1979-10-17,Finnish,877,1.0,25.0,191.41,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
GLO,Timo Glock,1982-03-18,German,877,14.0,0.0,185.716,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
MAS,Felipe Massa,1981-04-25,Brazilian,877,7.0,6.0,189.161,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
WEB,Mark Webber,1976-08-27,Australian,877,,0.0,186.935,Collision,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
BUT,Jenson Button,1980-01-19,British,877,4.0,12.0,191.273,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
VET,Sebastian Vettel,1987-07-03,German,877,3.0,15.0,192.32,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
MSC,Michael Schumacher,1969-01-03,German,877,11.0,0.0,190.015,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
DLR,Pedro de la Rosa,1971-02-24,Spanish,877,17.0,0.0,184.078,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
KAR,Narain Karthikeyan,1977-01-14,Indian,877,,0.0,178.142,Collision,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
GRO,Romain Grosjean,1986-04-17,French,877,,0.0,185.958,Collision,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
KOB,Kamui Kobayashi,1986-09-13,Japanese,877,6.0,8.0,189.658,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
HUL,Nico Hülkenberg,1987-08-19,German,877,,0.0,,Collision,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
PET,Vitaly Petrov,1984-09-08,Russian,877,16.0,0.0,184.606,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
SEN,Bruno Senna,1983-10-15,Brazilian,877,8.0,4.0,189.174,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
MAL,Pastor Maldonado,1985-03-09,Venezuelan,877,5.0,10.0,190.726,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
DIR,Paul di Resta,1986-04-16,British,877,9.0,2.0,189.31,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
PER,Sergio Pérez,1990-01-26,Mexican,877,15.0,0.0,189.682,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
RIC,Daniel Ricciardo,1989-07-01,Australian,877,10.0,1.0,188.799,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
VER,Jean-Éric Vergne,1990-04-25,French,877,12.0,0.0,188.425,Finished,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
PIC,Charles Pic,1990-02-15,French,877,,0.0,183.302,Retired,UAE,2012,Abu Dhabi Grand Prix,2012-11-04
HAM,Lewis Hamilton,1985-01-07,British,880,5.0,10.0,212.689,Finished,Australia,2013,Australian Grand Prix,2013-03-17
ROS,Nico Rosberg,1985-06-27,German,880,,0.0,206.926,Electrical,Australia,2013,Australian Grand Prix,2013-03-17
ALO,Fernando Alonso,1981-07-29,Spanish,880,2.0,18.0,213.162,Finished,Australia,2013,Australian Grand Prix,2013-03-17
RAI,Kimi Räikkönen,1979-10-17,Finnish,880,1.0,25.0,213.845,Finished,Australia,2013,Australian Grand Prix,2013-03-17
MAS,Felipe Massa,1981-04-25,Brazilian,880,4.0,12.0,211.558,Finished,Australia,2013,Australian Grand Prix,2013-03-17
SUT,Adrian Sutil,1983-01-11,German,880,7.0,6.0,210.459,Finished,Australia,2013,Australian Grand Prix,2013-03-17
WEB,Mark Webber,1976-08-27,Australian,880,6.0,8.0,212.753,Finished,Australia,2013,Australian Grand Prix,2013-03-17
BUT,Jenson Button,1980-01-19,British,880,9.0,2.0,211.654,Finished,Australia,2013,Australian Grand Prix,2013-03-17
VET,Sebastian Vettel,1987-07-03,German,880,3.0,15.0,211.16,Finished,Australia,2013,Australian Grand Prix,2013-03-17
GRO,Romain Grosjean,1986-04-17,French,880,10.0,1.0,211.193,Finished,Australia,2013,Australian Grand Prix,2013-03-17
HUL,Nico Hülkenberg,1987-08-19,German,880,,0.0,,Fuel system,Australia,2013,Australian Grand Prix,2013-03-17
MAL,Pastor Maldonado,1985-03-09,Venezuelan,880,,0.0,205.465,Spun off,Australia,2013,Australian Grand Prix,2013-03-17
DIR,Paul di Resta,1986-04-16,British,880,8.0,4.0,210.033,Finished,Australia,2013,Australian Grand Prix,2013-03-17
PER,Sergio Pérez,1990-01-26,Mexican,880,11.0,0.0,212.294,Finished,Australia,2013,Australian Grand Prix,2013-03-17
RIC,Daniel Ricciardo,1989-07-01,Australian,880,,0.0,210.063,Hydraulics,Australia,2013,Australian Grand Prix,2013-03-17
VER,Jean-Éric Vergne,1990-04-25,French,880,12.0,0.0,213.309,Finished,Australia,2013,Australian Grand Prix,2013-03-17
PIC,Charles Pic,1990-02-15,French,880,16.0,0.0,206.921,+2 Laps,Australia,2013,Australian Grand Prix,2013-03-17
CHI,Max Chilton,1991-04-21,British,880,17.0,0.0,207.036,+2 Laps,Australia,2013,Australian Grand Prix,2013-03-17
GUT,Esteban Gutiérrez,1991-08-05,Mexican,880,13.0,0.0,208.836,+1 Lap,Australia,2013,Australian Grand Prix,2013-03-17
BOT,Valtteri Bottas,1989-08-28,Finnish,880,14.0,0.0,210.594,+1 Lap,Australia,2013,Australian Grand Prix,2013-03-17
VDG,Giedo van der Garde,1985-04-25,Dutch,880,18.0,0.0,206.084,+2 Laps,Australia,2013,Australian Grand Prix,2013-03-17
BIA,Jules Bianchi,1989-08-03,French,880,15.0,0.0,211.055,+1 Lap,Australia,2013,Australian Grand Prix,2013-03-17
HAM,Lewis Hamilton,1985-01-07,British,881,3.0,15.0,197.57,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
ROS,Nico Rosberg,1985-06-27,German,881,4.0,12.0,198.052,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
ALO,Fernando Alonso,1981-07-29,Spanish,881,,0.0,,Collision,Malaysia,2013,Malaysian Grand Prix,2013-03-24
RAI,Kimi Räikkönen,1979-10-17,Finnish,881,7.0,6.0,196.079,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
MAS,Felipe Massa,1981-04-25,Brazilian,881,5.0,10.0,199.937,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
SUT,Adrian Sutil,1983-01-11,German,881,,0.0,194.129,Wheel nut,Malaysia,2013,Malaysian Grand Prix,2013-03-24
WEB,Mark Webber,1976-08-27,Australian,881,2.0,18.0,198.19,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
BUT,Jenson Button,1980-01-19,British,881,17.0,0.0,198.444,Withdrew,Malaysia,2013,Malaysian Grand Prix,2013-03-24
VET,Sebastian Vettel,1987-07-03,German,881,1.0,25.0,198.661,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
GRO,Romain Grosjean,1986-04-17,French,881,6.0,8.0,197.131,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
HUL,Nico Hülkenberg,1987-08-19,German,881,8.0,4.0,198.107,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
MAL,Pastor Maldonado,1985-03-09,Venezuelan,881,,0.0,192.865,Retired,Malaysia,2013,Malaysian Grand Prix,2013-03-24
DIR,Paul di Resta,1986-04-16,British,881,,0.0,193.559,Wheel nut,Malaysia,2013,Malaysian Grand Prix,2013-03-24
PER,Sergio Pérez,1990-01-26,Mexican,881,9.0,2.0,201.159,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
RIC,Daniel Ricciardo,1989-07-01,Australian,881,18.0,0.0,194.527,Retired,Malaysia,2013,Malaysian Grand Prix,2013-03-24
VER,Jean-Éric Vergne,1990-04-25,French,881,10.0,1.0,198.571,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
PIC,Charles Pic,1990-02-15,French,881,14.0,0.0,193.845,+1 Lap,Malaysia,2013,Malaysian Grand Prix,2013-03-24
CHI,Max Chilton,1991-04-21,British,881,16.0,0.0,193.454,+2 Laps,Malaysia,2013,Malaysian Grand Prix,2013-03-24
GUT,Esteban Gutiérrez,1991-08-05,Mexican,881,12.0,0.0,197.711,+1 Lap,Malaysia,2013,Malaysian Grand Prix,2013-03-24
BOT,Valtteri Bottas,1989-08-28,Finnish,881,11.0,0.0,196.845,Finished,Malaysia,2013,Malaysian Grand Prix,2013-03-24
VDG,Giedo van der Garde,1985-04-25,Dutch,881,15.0,0.0,193.441,+1 Lap,Malaysia,2013,Malaysian Grand Prix,2013-03-24
BIA,Jules Bianchi,1989-08-03,French,881,13.0,0.0,194.827,+1 Lap,Malaysia,2013,Malaysian Grand Prix,2013-03-24
HAM,Lewis Hamilton,1985-01-07,British,883,5.0,10.0,198.395,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
ROS,Nico Rosberg,1985-06-27,German,883,9.0,2.0,199.647,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
ALO,Fernando Alonso,1981-07-29,Spanish,883,8.0,4.0,200.436,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
RAI,Kimi Räikkönen,1979-10-17,Finnish,883,2.0,18.0,198.476,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
MAS,Felipe Massa,1981-04-25,Brazilian,883,15.0,0.0,197.12,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
SUT,Adrian Sutil,1983-01-11,German,883,13.0,0.0,200.712,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
WEB,Mark Webber,1976-08-27,Australian,883,7.0,6.0,197.684,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
BUT,Jenson Button,1980-01-19,British,883,10.0,1.0,199.33,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
VET,Sebastian Vettel,1987-07-03,German,883,1.0,25.0,200.938,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
GRO,Romain Grosjean,1986-04-17,French,883,3.0,15.0,199.567,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
HUL,Nico Hülkenberg,1987-08-19,German,883,12.0,0.0,197.258,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
MAL,Pastor Maldonado,1985-03-09,Venezuelan,883,11.0,0.0,196.875,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
DIR,Paul di Resta,1986-04-16,British,883,4.0,12.0,198.128,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
PER,Sergio Pérez,1990-01-26,Mexican,883,6.0,8.0,198.984,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
RIC,Daniel Ricciardo,1989-07-01,Australian,883,16.0,0.0,195.655,+1 Lap,Bahrain,2013,Bahrain Grand Prix,2013-04-21
VER,Jean-Éric Vergne,1990-04-25,French,883,,0.0,188.96,Puncture,Bahrain,2013,Bahrain Grand Prix,2013-04-21
PIC,Charles Pic,1990-02-15,French,883,17.0,0.0,195.72,+1 Lap,Bahrain,2013,Bahrain Grand Prix,2013-04-21
CHI,Max Chilton,1991-04-21,British,883,20.0,0.0,196.246,+1 Lap,Bahrain,2013,Bahrain Grand Prix,2013-04-21
GUT,Esteban Gutiérrez,1991-08-05,Mexican,883,18.0,0.0,198.399,+1 Lap,Bahrain,2013,Bahrain Grand Prix,2013-04-21
BOT,Valtteri Bottas,1989-08-28,Finnish,883,14.0,0.0,198.419,Finished,Bahrain,2013,Bahrain Grand Prix,2013-04-21
VDG,Giedo van der Garde,1985-04-25,Dutch,883,21.0,0.0,196.138,+2 Laps,Bahrain,2013,Bahrain Grand Prix,2013-04-21
BIA,Jules Bianchi,1989-08-03,French,883,19.0,0.0,197.286,+1 Lap,Bahrain,2013,Bahrain Grand Prix,2013-04-21
HAM,Lewis Hamilton,1985-01-07,British,886,3.0,15.0,205.615,Finished,Canada,2013,Canadian Grand Prix,2013-06-09
ROS,Nico Rosberg,1985-06-27,German,886,5.0,10.0,205.132,Finished,Canada,2013,Canadian Grand Prix,2013-06-09
ALO,Fernando Alonso,1981-07-29,Spanish,886,2.0,18.0,206.023,Finished,Canada,2013,Canadian Grand Prix,2013-06-09
RAI,Kimi Räikkönen,1979-10-17,Finnish,886,9.0,2.0,201.882,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
MAS,Felipe Massa,1981-04-25,Brazilian,886,8.0,4.0,204.052,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
SUT,Adrian Sutil,1983-01-11,German,886,10.0,1.0,202.069,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
WEB,Mark Webber,1976-08-27,Australian,886,4.0,12.0,206.08,Finished,Canada,2013,Canadian Grand Prix,2013-06-09
BUT,Jenson Button,1980-01-19,British,886,12.0,0.0,202.685,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
VET,Sebastian Vettel,1987-07-03,German,886,1.0,25.0,205.06,Finished,Canada,2013,Canadian Grand Prix,2013-06-09
GRO,Romain Grosjean,1986-04-17,French,886,13.0,0.0,202.296,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
HUL,Nico Hülkenberg,1987-08-19,German,886,,0.0,198.588,Collision,Canada,2013,Canadian Grand Prix,2013-06-09
MAL,Pastor Maldonado,1985-03-09,Venezuelan,886,16.0,0.0,201.006,+2 Laps,Canada,2013,Canadian Grand Prix,2013-06-09
DIR,Paul di Resta,1986-04-16,British,886,7.0,6.0,201.688,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
PER,Sergio Pérez,1990-01-26,Mexican,886,11.0,0.0,202.918,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
RIC,Daniel Ricciardo,1989-07-01,Australian,886,15.0,0.0,200.615,+2 Laps,Canada,2013,Canadian Grand Prix,2013-06-09
VER,Jean-Éric Vergne,1990-04-25,French,886,6.0,8.0,201.512,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
PIC,Charles Pic,1990-02-15,French,886,18.0,0.0,197.777,+3 Laps,Canada,2013,Canadian Grand Prix,2013-06-09
CHI,Max Chilton,1991-04-21,British,886,19.0,0.0,197.315,+3 Laps,Canada,2013,Canadian Grand Prix,2013-06-09
GUT,Esteban Gutiérrez,1991-08-05,Mexican,886,20.0,0.0,197.533,Accident,Canada,2013,Canadian Grand Prix,2013-06-09
BOT,Valtteri Bottas,1989-08-28,Finnish,886,14.0,0.0,201.266,+1 Lap,Canada,2013,Canadian Grand Prix,2013-06-09
